Abiotrophia defectiva	CP053988.1
Achromobacter deleyi	CP065997.1
Achromobacter denitrificans	CP054569.1
Achromobacter denitrificans	CP053987.1
Achromobacter denitrificans	CP053986.1
Achromobacter insolitus	CP026974.1
Achromobacter insolitus	CP026973.1
Achromobacter pestifer	CP053985.1
Achromobacter pestifer	CP053984.1
Achromobacter xylosoxidans	CP068212.1
Achromobacter xylosoxidans	CP068211.1
Achromobacter xylosoxidans	CP066291.1
Achromobacter xylosoxidans	CP065652.1
Achromobacter xylosoxidans	CP054571.1
Achromobacter xylosoxidans	CP014066.2
Achromobacter xylosoxidans	CP014065.2
Achromobacter xylosoxidans	CP014028.2
Achromobacter xylosoxidans	CP014060.2
Achromobacter xylosoxidans	CP014059.2
Achromobacter xylosoxidans	LOSD02000001.1
Achromobacter xylosoxidans	LOSD02000002.1
Achromobacter xylosoxidans	LOSD02000003.1
Achromobacter xylosoxidans	LOSD02000004.1
Achromobacter xylosoxidans	LOSD02000005.1
Achromobacter xylosoxidans	LOSD02000006.1
Achromobacter xylosoxidans	LOSD02000007.1
Achromobacter xylosoxidans	LOSD02000008.1
Achromobacter xylosoxidans	NBTL02000001.1
Acidaminococcus fermentans	CP085936.1
Acinetobacter baumannii	CP069852.1
Acinetobacter baumannii	CP069851.1
Acinetobacter baumannii	CP069842.1
Acinetobacter baumannii	CP069841.1
Acinetobacter baumannii	CP069840.1
Acinetobacter baumannii	CP066017.1
Acinetobacter baumannii	CP066016.1
Acinetobacter baumannii	CP065888.1
Acinetobacter baumannii	CP065887.1
Acinetobacter baumannii	CP065886.1
Acinetobacter baumannii	CP033770.1
Acinetobacter baumannii	CP033769.1
Acinetobacter baumannii	CP033768.1
Acinetobacter baumannii	CP033754.1
Acinetobacter baumannii	CP033753.1
Acinetobacter baumannii	CP033752.1
Acinetobacter baumannii	CP033751.1
Acinetobacter baumannii	LORJ02000001.1
Acinetobacter baumannii	LORJ02000002.1
Acinetobacter baumannii	LORJ02000003.1
Acinetobacter calcoaceticus	CP070518.1
Acinetobacter haemolyticus	CP079902.1
Acinetobacter haemolyticus	CP079901.1
Acinetobacter haemolyticus	CP079900.1
Acinetobacter haemolyticus	RKJM01000001.1
Acinetobacter johnsonii	CP068210.1
Acinetobacter johnsonii	CP068209.1
Acinetobacter johnsonii	CP068208.1
Acinetobacter johnsonii	CP068207.1
Acinetobacter johnsonii	CP068206.1
Acinetobacter johnsonii	CP068205.1
Acinetobacter johnsonii	CP068204.1
Acinetobacter johnsonii	CP068203.1
Acinetobacter johnsonii	CP068202.1
Acinetobacter johnsonii	CP068194.1
Acinetobacter johnsonii	CP068193.1
Acinetobacter johnsonii	CP068192.1
Acinetobacter johnsonii	CP068191.1
Acinetobacter johnsonii	CP068190.1
Acinetobacter johnsonii	CP068189.1
Acinetobacter johnsonii	CP068188.1
Acinetobacter johnsonii	CP068187.1
Acinetobacter johnsonii	CP068186.1
Acinetobacter johnsonii	CP068185.1
Acinetobacter johnsonii	CP068201.1
Acinetobacter johnsonii	CP068200.1
Acinetobacter johnsonii	CP068199.1
Acinetobacter johnsonii	CP068198.1
Acinetobacter johnsonii	CP068197.1
Acinetobacter johnsonii	CP068196.1
Acinetobacter johnsonii	CP068195.1
Acinetobacter johnsonii	CP065666.1
Acinetobacter johnsonii	CP065665.1
Acinetobacter johnsonii	CP065664.1
Acinetobacter johnsonii	CP065663.1
Acinetobacter lwoffii	CP077377.1
Acinetobacter lwoffii	CP077376.1
Acinetobacter lwoffii	CP077375.1
Acinetobacter lwoffii	CP077374.1
Acinetobacter lwoffii	CP077373.1
Acinetobacter lwoffii	CP077372.1
Acinetobacter lwoffii	CP077371.1
Acinetobacter lwoffii	CP077370.1
Acinetobacter lwoffii	CP077369.1
Acinetobacter lwoffii	CP077341.1
Acinetobacter lwoffii	CP077340.1
Acinetobacter lwoffii	CP077339.1
Acinetobacter lwoffii	CP077338.1
Acinetobacter lwoffii	CP077337.1
Acinetobacter lwoffii	CP077336.1
Acinetobacter lwoffii	CP054806.1
Acinetobacter lwoffii	CP054805.1
Acinetobacter lwoffii	CP054804.1
Acinetobacter lwoffii	CP054803.1
Acinetobacter lwoffii	CP054826.1
Acinetobacter lwoffii	CP054825.1
Acinetobacter lwoffii	CP054824.1
Acinetobacter lwoffii	CP054823.1
Acinetobacter lwoffii	CP054822.1
Acinetobacter lwoffii	CP054821.1
Acinetobacter lwoffii	CP046299.1
Acinetobacter lwoffii	CP046298.1
Acinetobacter lwoffii	CP046297.1
Acinetobacter lwoffii	CP046296.1
Acinetobacter lwoffii	CP046295.1
Acinetobacter nosocomialis	CP077398.1
Acinetobacter nosocomialis	CP014019.1
Acinetobacter pittii	CP077307.1
Acinetobacter pittii	CP077306.1
Acinetobacter pittii	CP077305.1
Acinetobacter pittii	CP077304.1
Acinetobacter pittii	CP077303.1
Acinetobacter pittii	CP077241.1
Acinetobacter pittii	CP077240.1
Acinetobacter pittii	CP077239.1
Acinetobacter pittii	CP077238.1
Acinetobacter pittii	CP077235.1
Acinetobacter pittii	CP077234.1
Acinetobacter pittii	CP077233.1
Acinetobacter pittii	CP077232.1
Acinetobacter pittii	CP077205.1
Acinetobacter pittii	CP069586.1
Acinetobacter pittii	CP069541.1
Acinetobacter pittii	CP069540.1
Acinetobacter pittii	CP069539.1
Acinetobacter pittii	CP069538.1
Acinetobacter pittii	CP069537.1
Acinetobacter pittii	CP069508.1
Acinetobacter pittii	CP069507.1
Acinetobacter pittii	CP069506.1
Acinetobacter pittii	CP069505.1
Acinetobacter pittii	CP069504.1
Acinetobacter pittii	CP069498.1
Acinetobacter pittii	CP069497.1
Acinetobacter pittii	CP069496.1
Acinetobacter radioresistens	CP059689.1
Acinetobacter radioresistens	CP059688.1
Acinetobacter radioresistens	CP059687.1
Acinetobacter radioresistens	CP059686.1
Acinetobacter radioresistens	CP059685.1
Acinetobacter radioresistens	CP059684.1
Acinetobacter seifertii	CP077365.1
Acinetobacter septicus	CP079899.1
Acinetobacter septicus	CP079898.1
Acinetobacter sp.	CP054908.1
Acinetobacter sp.	CP054907.1
Acinetobacter sp.	CP054906.1
Acinetobacter sp.	CP054905.1
Acinetobacter sp.	CP054904.1
Acinetobacter sp.	CP033864.1
Acinetobacter sp.	CP033863.1
Acinetobacter sp.	CP033862.1
Acinetobacter sp.	CP033867.1
Acinetobacter sp.	CP033866.1
Acinetobacter sp.	CP033860.1
Acinetobacter sp.	CP033859.1
Acinetobacter sp.	CP033858.1
Acinetobacter sp.	CP033857.1
Acinetobacter sp.	RKJG01000001.1
Acinetobacter sp.	RKJG01000002.1
Acinetobacter sp.	RKJG01000003.1
Acinetobacter sp.	RKJG01000004.1
Acinetobacter sp.	RKJG01000005.1
Acinetobacter sp.	RKJG01000006.1
Acinetobacter sp.	RKJG01000007.1
Acinetobacter sp.	RKJL01000001.1
Acinetobacter sp.	RKJL01000002.1
Acinetobacter sp.	RKJL01000003.1
Acinetobacter sp.	RKJL01000004.1
Acinetobacter sp.	RKJL01000005.1
Acinetobacter sp.	RKJL01000006.1
Acinetobacter sp.	RKJH01000001.1
Acinetobacter sp.	RKJH01000002.1
Acinetobacter sp.	RKJH01000003.1
Acinetobacter sp.	RKJH01000004.1
Acinetobacter sp.	RKJH01000005.1
Acinetobacter sp.	RKJH01000006.1
Acinetobacter sp.	RKJH01000007.1
Acinetobacter sp.	RKJH01000008.1
Acinetobacter sp.	RKIX01000001.1
Acinetobacter sp.	RKIX01000002.1
Acinetobacter sp.	RKIX01000003.1
Acinetobacter sp.	RKIX01000004.1
Acinetobacter sp.	RKIR01000001.1
Acinetobacter sp.	RKIR01000002.1
Acinetobacter sp.	RKIR01000003.1
Acinetobacter sp.	RKIR01000004.1
Acinetobacter sp.	LORV02000001.1
Acinetobacter sp.	LORV02000002.1
Acinetobacter sp.	LORV02000003.1
Acinetobacter sp.	LORV02000004.1
Acinetobacter sp.	LORV02000005.1
Acinetobacter sp.	LORV02000006.1
Acinetobacter sp.	LORV02000007.1
Acinetobacter sp.	LORV02000008.1
Acinetobacter ursingii	CP068179.1
Acinetobacter ursingii	CP068178.1
Acinetobacter ursingii	CP068177.1
Acinetobacter ursingii	CP068176.1
Acinetobacter ursingii	CP068175.1
Acinetobacter ursingii	CP068184.1
Acinetobacter ursingii	CP068183.1
Acinetobacter ursingii	CP068182.1
Acinetobacter ursingii	CP068181.1
Acinetobacter ursingii	CP068180.1
Acinetobacter variabilis	CP083662.1
Acinetobacter variabilis	CP083661.1
Acinetobacter variabilis	CP083660.1
Acinetobacter variabilis	CP083659.1
Acinetobacter variabilis	CP083658.1
Actinomyces naeslundii	CP066049.1
Actinomyces oris	CP066061.1
Actinomyces oris	CP066060.1
Aerococcus urinae	CP065662.1
Aerococcus viridans	CP046334.1
Aerococcus viridans	NBTM02000001.1
Aeromonas allosaccharophila	CP065746.1
Aeromonas allosaccharophila	CP065745.1
Aeromonas caviae	CP026055.1
Aeromonas caviae	JTBG02000001.1
Aeromonas caviae	JTBG02000002.1
Aeromonas caviae	JTBG02000003.1
Aeromonas caviae	JTBG02000004.1
Aeromonas caviae	JTBG02000005.1
Aeromonas caviae	JTBH02000001.1
Aeromonas caviae	JTBG02000006.1
Aeromonas caviae	JTBG02000007.1
Aeromonas caviae	JTBG02000008.1
Aeromonas caviae	JTBG02000009.1
Aeromonas caviae	JTBG02000010.1
Aeromonas enteropelogenes	CP084358.1
Aeromonas enteropelogenes	CP083626.1
Aeromonas enteropelogenes	CP083625.1
Aeromonas enteropelogenes	CP083612.1
Aeromonas enteropelogenes	CP082887.1
Aeromonas hydrophila	CP065651.1
Aeromonas hydrophila	JTBD02000001.1
Aeromonas hydrophila	JTBD02000002.1
Aeromonas hydrophila	JTBD02000003.1
Aeromonas hydrophila	JTBD02000004.1
Aeromonas hydrophila	JTBD02000005.1
Aeromonas hydrophila	JTBD02000006.1
Aeromonas hydrophila	JTBD02000007.1
Aeromonas jandaei	CP084376.1
Aeromonas jandaei	CP066092.1
Aeromonas sp.	CP077400.1
Aeromonas sp.	CP077399.1
Aeromonas sp.	CP077394.1
Aeromonas sp.	CP077402.1
Aeromonas sp.	CP077401.1
Aeromonas sp.	CP077378.1
Aeromonas sp.	CP077387.1
Aeromonas sp.	CP077395.1
Aeromonas sp.	CP077313.1
Aeromonas sp.	CP077312.1
Aeromonas sp.	CP077311.1
Aeromonas sp.	CP077364.1
Aeromonas sp.	CP077363.1
Aeromonas sp.	CP077301.1
Aeromonas sp.	CP077249.1
Aeromonas sp.	CP077214.1
Aeromonas sp.	CP077237.1
Aeromonas sp.	CP077210.1
Aeromonas sp.	CP077222.1
Aeromonas sp.	CP077221.1
Aeromonas sp.	CP077209.1
Aeromonas sp.	CP077204.1
Aeromonas sp.	CP077203.1
Aeromonas sp.	CP077202.1
Aeromonas sp.	CP077201.1
Aeromonas veronii	CP044061.1
Aeromonas veronii	CP044060.1
Aggregatibacter actinomycetemcomitans	CP065604.1
Aggregatibacter aphrophilus	NBTN02000001.1
Aggregatibacter aphrophilus	NBTN02000002.1
Aggregatibacter aphrophilus	NBTN02000003.1
Aggregatibacter aphrophilus	NBTN02000004.1
Aggregatibacter aphrophilus	NBTN02000005.1
Aggregatibacter segnis	CP065983.1
Agrobacterium sp.	RKIU01000001.1
Agrobacterium sp.	RKIU01000002.1
Agrobacterium sp.	RKIU01000003.1
Agrobacterium sp.	RKIU01000004.1
Agrobacterium sp.	RKIU01000005.1
Agrobacterium sp.	RKIU01000006.1
Agrobacterium sp.	RKIU01000007.1
Agrobacterium sp.	RKIU01000008.1
Agrobacterium tumefaciens	CP066276.1
Agrobacterium tumefaciens	CP066275.1
Agrobacterium tumefaciens	CP066274.1
Agrobacterium tumefaciens	CP066273.1
Alcaligenes faecalis	CP066058.1
Alcaligenes faecalis	CP033861.1
Alistipes senegalensis	CP085931.1
Amycolatopsis sp.	CP069527.1
Amycolatopsis sp.	CP069526.1
Anaerococcus obesiensis	CP067017.1
Anaerococcus obesiensis	CP067016.1
Anaerococcus vaginalis	CP066014.1
Arachnia propionica	RKKA01000001.1
Aspergillus niger	NKJJ02000001.1
Aspergillus niger	NKJJ02000002.1
Aspergillus niger	NKJJ02000003.1
Aspergillus niger	NKJJ02000004.1
Aspergillus niger	NKJJ02000005.1
Aspergillus niger	NKJJ02000006.1
Aspergillus niger	NKJJ02000007.1
Aspergillus niger	NKJJ02000008.1
Aspergillus niger	NKJJ02000009.1
Aspergillus niger	NKJJ02000010.1
Aspergillus niger	NKJJ02000011.1
Aspergillus niger	NKJJ02000012.1
Aspergillus niger	NKJJ02000013.1
Aspergillus niger	NKJJ02000014.1
Aspergillus niger	NKJJ02000015.1
Aspergillus niger	NKJJ02000016.1
Aspergillus niger	NKJJ02000017.1
Aspergillus niger	NKJJ02000018.1
Aspergillus niger	NKJJ02000020.1
Aspergillus niger	NKJJ02000021.1
Aspergillus niger	NKJJ02000022.1
Aspergillus niger	NKJJ02000023.1
Aspergillus niger	NKJJ02000024.1
Aspergillus niger	NKJJ02000025.1
Atlantibacter hermannii	CP065700.1
Bacillus anthracis	CP054816.1
Bacillus anthracis	CP054815.1
Bacillus anthracis	CP054814.1
Bacillus anthracis	CP054802.1
Bacillus anthracis	CP054801.1
Bacillus anthracis	CP054800.1
Bacillus anthracis	CP054799.1
Bacillus anthracis	CP054798.1
Bacillus anthracis	CP054797.1
Bacillus anthracis	CP050973.1
Bacillus anthracis	CP050972.1
Bacillus anthracis	CP050971.1
Bacillus anthracis	CP050970.1
Bacillus anthracis	CP047111.1
Bacillus anthracis	CP047110.1
Bacillus anthracis	CP047109.1
Bacillus anthracis	CP047108.1
Bacillus anthracis	CP047107.1
Bacillus anthracis	CP047106.1
Bacillus anthracis	CP047105.1
Bacillus anthracis	CP047104.1
Bacillus anthracis	CP047103.1
Bacillus anthracis	CP047102.1
Bacillus anthracis	CP047101.1
Bacillus anthracis	CP047100.1
Bacillus anthracis	CP047099.1
Bacillus anthracis	CP047098.1
Bacillus anthracis	CP047097.1
Bacillus anthracis	CP022045.2
Bacillus anthracis	CP022044.2
Bacillus cereus	CP068135.1
Bacillus cereus	CP065885.1
Bacillus cereus	CP065884.1
Bacillus cereus	CP065883.1
Bacillus cereus	CP065882.1
Bacillus cereus	CP065881.1
Bacillus cereus	CP065880.1
Bacillus cereus	CP065879.1
Bacillus cereus	CP065650.1
Bacillus cereus	CP065649.1
Bacillus cereus	CP053931.1
Bacillus cereus	CP053930.1
Bacillus cereus	CP053997.1
Bacillus cereus	CP053996.1
Bacillus cereus	CP053995.1
Bacillus cereus	CP053994.1
Bacillus cereus	CP053993.1
Bacillus cereus	CP053992.1
Bacillus cereus	CP053991.1
Bacillus cereus	CP053990.1
Bacillus cereus	CP053954.1
Bacillus cereus	CP053953.1
Bacillus cereus	CP053952.1
Bacillus cereus	CP053968.1
Bacillus cereus	CP053967.1
Bacillus cereus	CP053966.1
Bacillus cereus	CP053965.1
Bacillus cereus	CP053964.1
Bacillus cereus	CP053963.1
Bacillus cereus	CP053962.1
Bacillus cereus	CP053961.1
Bacillus cereus	CP053951.1
Bacillus cereus	CP053950.1
Bacillus cereus	CP053949.1
Bacillus circulans	CM017505.1
Bacillus circulans	CM017506.1
Bacillus licheniformis	CP065648.1
Bacillus licheniformis	CP065647.1
Bacillus licheniformis	CP065646.1
Bacillus licheniformis	CP065645.1
Bacillus licheniformis	CP065644.1
Bacillus mycoides	CP065878.1
Bacillus mycoides	CP065877.1
Bacillus mycoides	CP065876.1
Bacillus mycoides	CP065875.1
Bacillus sp.	CP033796.1
Bacillus sp.	CP033795.1
Bacillus sp.	CP033794.1
Bacillus sp.	CP033793.1
Bacillus sp.	CP033792.1
Bacillus sp.	CP033791.1
Bacillus sp.	CP033790.1
Bacillus sp.	CP033789.1
Bacillus sp.	CP033788.1
Bacillus sp.	CP020437.2
Bacillus sp.	CP020436.2
Bacillus sp.	CP020434.2
Bacillus sp.	CP020435.1
Bacillus sp.	RKIY01000001.1
Bacillus sp.	RKIY01000002.1
Bacillus sp.	RKIY01000003.1
Bacillus sp.	RKIY01000004.1
Bacillus subtilis	CP041015.1
Bacillus thuringiensis	CP054568.1
Bacillus thuringiensis	CP054567.1
Bacillus thuringiensis	CP053938.1
Bacillus thuringiensis	CP053937.1
Bacillus thuringiensis	CP053936.1
Bacillus thuringiensis	CP053935.1
Bacillus thuringiensis	CP053934.1
Bacillus thuringiensis	CP053933.1
Bacillus thuringiensis	CP053932.1
Bacillus thuringiensis	CP053980.1
Bacillus thuringiensis	CP053979.1
Bacillus thuringiensis	CP053978.1
Bacillus thuringiensis	CP053977.1
Bacillus thuringiensis	CP053976.1
Bacillus thuringiensis	CP053975.1
Bacillus thuringiensis	CP053974.1
Bacillus thuringiensis	CP053973.1
Bacillus thuringiensis	CP053972.1
Bacillus thuringiensis	CP053971.1
Bacillus thuringiensis	CP053970.1
Bacillus thuringiensis	CP053969.1
Bacillus thuringiensis	CP053983.1
Bacillus thuringiensis	CP053982.1
Bacillus thuringiensis	CP053981.1
Bacillus tropicus	CP065744.1
Bacillus tropicus	CP065743.1
Bacillus tropicus	CP065742.1
Bacillus tropicus	CP065741.1
Bacillus tropicus	CP065740.1
Bacillus tropicus	CP065739.1
Bacillus tropicus	CP053956.1
Bacillus tropicus	CP053955.1
Bacteroides caccae	CP069532.1
Bacteroides caccae	CP068174.1
Bacteroides eggerthii	CP069794.1
Bacteroides fragilis	CP083624.1
Bacteroides fragilis	CP083623.1
Bacteroides fragilis	CP069564.1
Bacteroides fragilis	CP069563.1
Bacteroides fragilis	CP054004.1
Bacteroides fragilis	CP054003.1
Bacteroides fragilis	CP054002.1
Bacteroides fragilis	CP054001.1
Bacteroides nordii	CP082886.1
Bacteroides ovatus	CP083813.1
Bacteroides ovatus	CP069790.1
Bacteroides ovatus	CP046397.1
